service_request_id,requested_datetime,closed_date,updated_datetime,status_description,status_notes,agency_responsible,service_name,service_subtype,service_details,address,source,data_as_of,data_loaded_at,street,supervisor_district,neighborhoods_sffind_boundaries,analysis_neighborhood,police_district,lat,long,point,point_geom,media_url
101004346058,2026-06-30T08:55:12.000,2026-07-01T19:14:50.000,2026-07-01T19:14:50.000,Closed,Case Resolved - Feedback recorded,MTA - Muni Feedback Received,Muni Service Feedback,other_misc_feedback_requests,other_misc_feedback_requests,Not associated with a specific address,Phone,2026-07-11T01:00:00.000,2026-07-11 03:13:19,,,,,,,,,,
101004350133,2026-06-30T16:38:19.000,2026-07-06T15:57:37.000,2026-07-06T15:57:37.000,Closed,Case Resolved - Investigation completed,MTA - Muni Feedback Received,Muni Employee Feedback,complaint_pass_ups_denial_inattention,priority_seats_vacated,Not associated with a specific address,Phone,2026-07-16T01:00:00.000,2026-07-16 03:13:22,,,,,,,,,,
101004350507,2026-06-30T17:43:51.000,2026-07-07T16:18:08.000,2026-07-07T16:18:08.000,Closed,Case Resolved - Praise recorded- Thank you!,MTA - Muni Feedback Received,Muni Employee Feedback,praise_employee,praise_employee,Not associated with a specific address,Phone,2026-07-16T01:00:00.000,2026-07-16 03:13:22,,,,,,,,,,
101004350891,2026-06-30T19:00:51.000,2026-07-07T18:22:29.000,2026-07-07T18:22:30.000,Closed,Case Resolved - Feedback recorded,MTA - Muni Feedback Received,Muni Service Feedback,complaint_frequency_reliability,service_planning,Not associated with a specific address,Phone,2026-07-16T01:00:00.000,2026-07-16 03:13:22,,,,,,,,,,
101004348786,2026-06-30T14:04:09.000,2026-06-30T17:13:24.000,2026-06-30T17:13:24.000,Closed,Case Resolved - Praise recorded- Thank you!,MTA - Muni Feedback Received,Muni Employee Feedback,praise_employee,praise_employee,Not associated with a specific address,Phone,2026-07-10T01:00:00.000,2026-07-10 03:16:29,,,,,,,,,,
101004344989,2026-06-30T02:33:49.000,2026-06-30T19:49:17.000,2026-06-30T19:49:17.000,Closed,Case Resolved - Missing or incomplete info.- no further action,MTA - Muni Feedback Received,Muni Service Feedback,comment_question_suggestion_service,comment_question_suggestion_service,Not associated with a specific address,Phone,2026-07-10T01:00:00.000,2026-07-10 03:16:29,,,,,,,,,,
101004347108,2026-06-30T10:44:59.000,,2026-06-30T11:53:29.000,Open,open,MTA - Muni Feedback Received,Muni Service Feedback,complaint_signs_maps,signs_maps,"INTERSECTION MARKET ST, CHURCH ST, SAN FRANCISCO, CA 94114",Phone,2026-07-10T01:00:00.000,2026-07-10 03:16:29,MARKET ST,8.0,Duboce Triangle,Castro/Upper Market,MISSION,37.767504389,-122.428948692,"{'latitude': '37.767504389', 'longitude': '-122.428948692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.428948692, 37.767504389]}",
101004346022,2026-06-30T08:49:18.000,2026-07-01T20:20:03.000,2026-07-01T20:20:03.000,Closed,Case Resolved - Feedback recorded,MTA - Muni Feedback Received,Muni Service Feedback,complaint_frequency_reliability,schedule_not_followed,"1506 CLAY ST, SAN FRANCISCO, CA 94109",Mobile,2026-07-11T01:00:00.000,2026-07-11 03:13:19,CLAY ST,3.0,Nob Hill,Russian Hill,CENTRAL,37.7928444383219,-122.4180585273168,"{'latitude': '37.7928444383219', 'longitude': '-122.4180585273168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.418058527, 37.792844438]}",
101004346465,2026-06-30T09:37:43.000,2026-07-08T16:57:00.000,2026-07-08T16:57:00.000,Closed,Case Resolved - Investigation completed,MTA - Muni Feedback Received,Muni Employee Feedback,complaint_pass_ups_denial_inattention,waiting_at_stop,"INTERSECTION CALIFORNIA ST, 6TH AVE, SAN FRANCISCO, CA 94118",Phone,2026-07-16T01:00:00.000,2026-07-16 03:13:22,CALIFORNIA ST,1.0,Presidio Terrace,Inner Richmond,RICHMOND,37.7849939446,-122.464572229,"{'latitude': '37.7849939446', 'longitude': '-122.464572229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.464572229, 37.784993945]}",
101004347839,2026-06-30T12:16:29.000,,2026-07-06T15:23:49.000,Open,open,MTA - Muni Feedback Received,Muni Employee Feedback,complaint_discourteous_unprofessional,discourteous_rude,Not associated with a specific address,Phone,2026-07-16T01:00:00.000,2026-07-16 03:13:22,,,,,,,,,,
101004350057,2026-06-30T16:27:35.000,2026-07-01T18:10:25.000,2026-07-01T18:10:25.000,Closed,Case Resolved,MTA - Muni Feedback Received,Muni Employee Feedback,complaint_unsafe_operation,other_unsafe_driving,Not associated with a specific address,Phone,2026-07-11T01:00:00.000,2026-07-11 03:13:19,,,,,,,,,,
101004345377,2026-06-30T07:30:43.000,2026-07-01T20:13:33.000,2026-07-01T20:13:33.000,Closed,Case Resolved - Feedback recorded,MTA - Muni Feedback Received,Muni Service Feedback,complaint_frequency_reliability,delays,"INTERSECTION MARKET ST, GOUGH ST, SAN FRANCISCO, CA 94102",Phone,2026-07-11T01:00:00.000,2026-07-11 03:13:19,MARKET ST,6.0,Lower Haight,Hayes Valley,SOUTHERN,37.7729089925,-122.4221865663,"{'latitude': '37.7729089925', 'longitude': '-122.4221865663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-122.422186566, 37.772908992]}",
